epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,11.3986,0.57521,1.01135,0.96684,0.91204,0.37186,0.41112,0.29554,1.83894,2.39964,1.63221,2.82082e-05,2.82082e-05,2.82082e-05
40,11.649,0.94588,1.50782,1.37122,0.91204,0.37186,0.41112,0.29554,1.83894,2.39964,1.63221,2.84911e-05,2.84911e-05,2.84911e-05
41,11.9098,0.76258,0.89894,1.10394,0.92222,0.37245,0.41053,0.29522,1.81068,2.38041,1.61219,2.87504e-05,2.87504e-05,2.87504e-05
42,12.1617,0.97134,1.18281,1.26901,0.92222,0.37245,0.41053,0.29522,1.81068,2.38041,1.61219,2.89861e-05,2.89861e-05,2.89861e-05
43,12.4254,0.71932,1.19807,1.24287,0.92401,0.3723,0.41263,0.29949,1.78674,2.41656,1.58574,2.91983e-05,2.91983e-05,2.91983e-05
44,12.6761,1.05543,2.03162,1.40671,0.92401,0.3723,0.41263,0.29949,1.78674,2.41656,1.58574,2.93869e-05,2.93869e-05,2.93869e-05
45,12.9438,0.78294,1.20407,1.25576,0.93058,0.37251,0.41255,0.31606,1.81528,2.45841,1.59734,2.9552e-05,2.9552e-05,2.9552e-05
46,13.1945,1.03068,1.16768,1.35845,0.93058,0.37251,0.41255,0.31606,1.81528,2.45841,1.59734,2.96935e-05,2.96935e-05,2.96935e-05
47,13.4646,1.15439,1.69314,1.44365,0.93422,0.37472,0.41459,0.31503,1.79725,2.42424,1.56762,2.98114e-05,2.98114e-05,2.98114e-05
48,13.7252,0.82034,0.81593,1.25638,0.93422,0.37472,0.41459,0.31503,1.79725,2.42424,1.56762,2.99058e-05,2.99058e-05,2.99058e-05
49,13.9929,0.60152,0.97281,1.12557,0.93948,0.37434,0.41439,0.31728,1.78995,2.4167,1.55308,2.99766e-05,2.99766e-05,2.99766e-05
50,14.2498,0.79659,1.07868,1.21508,0.93948,0.37434,0.41439,0.31728,1.78995,2.4167,1.55308,3.00238e-05,3.00238e-05,3.00238e-05
51,14.5109,0.76936,0.94607,1.16683,0.94555,0.37376,0.415,0.3175,1.81988,2.42389,1.58042,3.00475e-05,3.00475e-05,3.00475e-05
52,14.7789,0.78831,1.29269,1.20791,0.94555,0.37376,0.415,0.3175,1.81988,2.42389,1.58042,3.00476e-05,3.00476e-05,3.00476e-05
53,15.0354,0.70187,1.16679,1.10763,0.94555,0.37376,0.415,0.3175,1.81988,2.42389,1.58042,3.00242e-05,3.00242e-05,3.00242e-05
54,15.3044,0.72931,0.90097,1.25457,0.95753,0.38727,0.41998,0.32583,1.84316,2.42207,1.58468,2.99772e-05,2.99772e-05,2.99772e-05
55,15.5617,0.65843,1.09489,1.09234,0.95753,0.38727,0.41998,0.32583,1.84316,2.42207,1.58468,2.99066e-05,2.99066e-05,2.99066e-05
56,15.8202,0.80438,1.14323,1.27921,0.95753,0.38727,0.41998,0.32583,1.84316,2.42207,1.58468,2.98125e-05,2.98125e-05,2.98125e-05
57,16.0912,0.65646,0.75459,1.09444,0.95982,0.38723,0.42157,0.31794,1.84622,2.44598,1.58605,2.96948e-05,2.96948e-05,2.96948e-05
58,16.3614,0.67075,0.73672,1.22615,0.95982,0.38723,0.42157,0.31794,1.84622,2.44598,1.58605,2.95535e-05,2.95535e-05,2.95535e-05
59,16.6211,0.91126,0.99512,1.12473,0.95982,0.38723,0.42157,0.31794,1.84622,2.44598,1.58605,2.93887e-05,2.93887e-05,2.93887e-05
60,16.8982,0.85093,1.68579,1.19557,0.95366,0.38333,0.41764,0.31598,1.83528,2.49704,1.58896,2.92003e-05,2.92003e-05,2.92003e-05
61,17.1519,0.71481,0.91147,1.01759,0.95366,0.38333,0.41764,0.31598,1.83528,2.49704,1.58896,2.89884e-05,2.89884e-05,2.89884e-05
62,17.4104,0.58826,0.75713,0.99185,0.95366,0.38333,0.41764,0.31598,1.83528,2.49704,1.58896,2.87529e-05,2.87529e-05,2.87529e-05
63,17.6799,0.73135,1.4414,1.24302,0.9635,0.38648,0.42223,0.31959,1.81796,2.45153,1.55668,2.84938e-05,2.84938e-05,2.84938e-05
64,17.9431,0.7094,0.91105,1.17972,0.9635,0.38648,0.42223,0.31959,1.81796,2.45153,1.55668,2.82112e-05,2.82112e-05,2.82112e-05
65,18.2047,0.7992,0.75675,1.16804,0.9635,0.38648,0.42223,0.31959,1.81796,2.45153,1.55668,2.7905e-05,2.7905e-05,2.7905e-05
66,18.4836,0.82365,1.38415,1.19013,0.96326,0.3861,0.42299,0.3182,1.8043,2.42418,1.54221,2.75753e-05,2.75753e-05,2.75753e-05
67,18.7415,0.86698,1.34873,1.28607,0.96326,0.3861,0.42299,0.3182,1.8043,2.42418,1.54221,2.7222e-05,2.7222e-05,2.7222e-05
68,18.9971,0.88344,0.92137,1.19073,0.96326,0.3861,0.42299,0.3182,1.8043,2.42418,1.54221,2.68451e-05,2.68451e-05,2.68451e-05
69,19.2631,0.80454,0.872,1.16414,0.96297,0.38639,0.42352,0.30413,1.7625,2.34931,1.47839,2.64447e-05,2.64447e-05,2.64447e-05
70,19.5221,0.58871,0.65443,0.99717,0.96297,0.38639,0.42352,0.30413,1.7625,2.34931,1.47839,2.60207e-05,2.60207e-05,2.60207e-05
71,19.7843,0.62568,0.70598,1.06447,0.96297,0.38639,0.42352,0.30413,1.7625,2.34931,1.47839,2.55731e-05,2.55731e-05,2.55731e-05
72,20.0458,0.48056,0.84683,1.03615,0.94772,0.39084,0.42231,0.32058,1.76948,2.35515,1.48633,2.5102e-05,2.5102e-05,2.5102e-05
73,20.2966,0.71791,0.80922,1.12972,0.94772,0.39084,0.42231,0.32058,1.76948,2.35515,1.48633,2.46073e-05,2.46073e-05,2.46073e-05
74,20.5661,0.54077,0.67803,1.06266,0.94772,0.39084,0.42231,0.32058,1.76948,2.35515,1.48633,2.40891e-05,2.40891e-05,2.40891e-05
75,20.8596,0.77134,0.8319,1.12449,0.93416,0.39547,0.42509,0.30503,1.75248,2.35098,1.46831,2.35472e-05,2.35472e-05,2.35472e-05
76,21.1176,0.58172,0.64772,1.03363,0.93416,0.39547,0.42509,0.30503,1.75248,2.35098,1.46831,2.29819e-05,2.29819e-05,2.29819e-05
77,21.3886,0.72326,0.95372,1.09959,0.93416,0.39547,0.42509,0.30503,1.75248,2.35098,1.46831,2.23929e-05,2.23929e-05,2.23929e-05
78,21.6612,0.88257,1.0839,1.3005,0.92529,0.39839,0.42506,0.305,1.74625,2.34602,1.44009,2.17805e-05,2.17805e-05,2.17805e-05
79,21.9365,0.69881,0.93047,1.15034,0.92529,0.39839,0.42506,0.305,1.74625,2.34602,1.44009,2.11444e-05,2.11444e-05,2.11444e-05
80,22.1868,0.62144,0.61121,1.03349,0.92529,0.39839,0.42506,0.305,1.74625,2.34602,1.44009,2.04848e-05,2.04848e-05,2.04848e-05
81,22.4408,0.58515,1.2075,1.0875,0.91687,0.39997,0.42575,0.30532,1.76564,2.35703,1.44616,1.98016e-05,1.98016e-05,1.98016e-05
82,22.693,0.71439,0.66881,1.2713,0.91687,0.39997,0.42575,0.30532,1.76564,2.35703,1.44616,1.90949e-05,1.90949e-05,1.90949e-05
83,22.9381,0.68034,0.79847,1.28542,0.91687,0.39997,0.42575,0.30532,1.76564,2.35703,1.44616,1.83646e-05,1.83646e-05,1.83646e-05
84,23.2528,0.6969,0.78149,1.06335,0.91876,0.39978,0.42665,0.30391,1.78097,2.31216,1.43828,1.76107e-05,1.76107e-05,1.76107e-05
85,23.5003,0.68119,0.88526,1.16187,0.91876,0.39978,0.42665,0.30391,1.78097,2.31216,1.43828,1.68333e-05,1.68333e-05,1.68333e-05
86,23.7695,0.60638,1.01697,1.07912,0.91876,0.39978,0.42665,0.30391,1.78097,2.31216,1.43828,1.60323e-05,1.60323e-05,1.60323e-05
87,24.0467,1.22316,1.57643,1.63397,0.91876,0.39978,0.42665,0.30391,1.78097,2.31216,1.43828,1.52077e-05,1.52077e-05,1.52077e-05
88,24.3121,0.61974,0.89512,1.08708,0.88162,0.4,0.42685,0.29919,1.81125,2.31133,1.4788,1.43596e-05,1.43596e-05,1.43596e-05
89,24.5778,0.50278,0.86306,1.15316,0.88162,0.4,0.42685,0.29919,1.81125,2.31133,1.4788,1.34879e-05,1.34879e-05,1.34879e-05
90,24.8564,0.79217,0.90886,1.2107,0.88162,0.4,0.42685,0.29919,1.81125,2.31133,1.4788,1.25927e-05,1.25927e-05,1.25927e-05
91,25.5702,0.52634,0.57798,0.96413,0.88162,0.4,0.42685,0.29919,1.81125,2.31133,1.4788,1.16739e-05,1.16739e-05,1.16739e-05
92,25.8682,0.49167,0.49583,0.83814,0.87091,0.4,0.42665,0.3001,1.76825,2.31548,1.42836,1.07315e-05,1.07315e-05,1.07315e-05
93,26.1524,0.53731,0.58459,0.91912,0.87091,0.4,0.42665,0.3001,1.76825,2.31548,1.42836,9.76562e-06,9.76562e-06,9.76562e-06
94,26.4221,0.59573,0.52759,1.01939,0.87091,0.4,0.42665,0.3001,1.76825,2.31548,1.42836,8.77613e-06,8.77613e-06,8.77613e-06
95,26.6891,0.53006,0.51941,0.98333,0.87091,0.4,0.42665,0.3001,1.76825,2.31548,1.42836,7.76308e-06,7.76308e-06,7.76308e-06
96,26.9739,0.72408,0.61201,1.2624,0.88714,0.4,0.42963,0.30462,1.80501,2.35557,1.44658,6.72648e-06,6.72648e-06,6.72648e-06
97,27.2425,0.55107,0.54318,0.98403,0.88714,0.4,0.42963,0.30462,1.80501,2.35557,1.44658,5.6663e-06,5.6663e-06,5.6663e-06
98,27.4846,0.61529,0.62438,1.07614,0.88714,0.4,0.42963,0.30462,1.80501,2.35557,1.44658,4.58257e-06,4.58257e-06,4.58257e-06
99,27.7188,0.4594,0.52172,0.93299,0.88714,0.4,0.42963,0.30462,1.80501,2.35557,1.44658,3.47528e-06,3.47528e-06,3.47528e-06
100,27.9903,0.5174,0.48006,0.96699,0.92173,0.39992,0.42813,0.30404,1.84854,2.43809,1.49098,2.34442e-06,2.34442e-06,2.34442e-06
